id,username,created_at,lng,lat,text
1517209206272651265,jessicaevxlynh,Thu Apr 21 18:30:37 +0000 2022,-122.3306025,47.614817,@meliguac thank u my ace 😏
1517209211574562816,connie_lynn12,Thu Apr 21 18:30:39 +0000 2022,-71.098161,42.346422,@NatsandCaps We are enjoying a game too! Cheers! https://t.co/ZIOALpznu2
1517209213965152260,bricksonion,Thu Apr 21 18:30:39 +0000 2022,-77.6204,43.1557,"Thanks a lot Bro #bricksonionhustlesocks#bricksonionsocks @ Rochester, New York https://t.co/6oZZ0OEXzc"
1517209223628734466,RatedXXXRell,Thu Apr 21 18:30:41 +0000 2022,-75.77004099999999,42.746617,@xxnvno @4UrViewinPlezur I’d swallow ur dick n balls for real.
1517209237339865088,xtomlongx,Thu Apr 21 18:30:45 +0000 2022,-122.455344,47.242960499999995,@SharingLungs @hannabalxx McDonalds fountain drinks hit so hard! Every other fast food chain is trash by comparison.
1517209246709927936,bikinjack,Thu Apr 21 18:30:47 +0000 2022,-122.455344,47.242960499999995,@FCEEVIPER 😆I can’t unsee it now
1517209252938412032,NotThatChickNan,Thu Apr 21 18:30:48 +0000 2022,-120.882482,47.273022,@DestryBrod @ThatChickNan I can see that- thanks.
1517209258034671619,Jmadden1632,Thu Apr 21 18:30:50 +0000 2022,-71.683502,42.036939000000004,Indiana State transfer Nick Hittle has committed to Southern Indiana.
1517209260026957827,MaryLeachTweets,Thu Apr 21 18:30:50 +0000 2022,-71.204591,42.505534499999996,@lilredlizzie They won’t.
1517209264137424896,BuckTurgedson,Thu Apr 21 18:30:51 +0000 2022,-71.3070005,41.5403895,"@RepAndyBiggsAZ Which snarky staffer found this for you?  And… you posted it?  Tell us what communism is, SFB, because you have no idea…"
1517209276636352513,Guac_Papi,Thu Apr 21 18:30:54 +0000 2022,-73.12620899999999,41.207828,Trying to manifest new ways to be completely unhinged on the TL
1517209281933762561,JesseSimonelli,Thu Apr 21 18:30:55 +0000 2022,-70.9963275,42.4192015,I'm A Withered Bustout Poker Player But Someone Please Explain to Me Why Everyone Is Talking About Grand Theft Auto… https://t.co/4OtSzVxVvJ
1517209285696098305,lenhinds,Thu Apr 21 18:30:56 +0000 2022,-72.66277,41.6993245,@unrulyking00 @gyaigyimii @ChelseaFC Go put Eto in the Primer League HOF!! This is about DD not Eto!!
1517209296462921729,FtAssKellyPrice,Thu Apr 21 18:30:59 +0000 2022,-71.0887125,42.3136695,I just saw the drag race Uk season 4 cast and I’m gagged
1517209298010472448,BMeece92,Thu Apr 21 18:30:59 +0000 2022,-122.061771,47.67881250000001,🐐 back to do 🐐 type shit
1517209319384784896,Siarl1950,Thu Apr 21 18:31:04 +0000 2022,-71.43666999999999,41.6989405,@Will37178568 @briantylercohen They are allowing it to continue and elected the people who are doing it. They are u… https://t.co/LUcqBXqt0Z
1517209335327244292,RHamilton75,Thu Apr 21 18:31:08 +0000 2022,-71.206681,42.427373,Terrarium building. https://t.co/SU8Bq1wCox
1517209353819881474,tmj_WA_secure,Thu Apr 21 18:31:12 +0000 2022,-122.3320708,47.6062095,Looking to score a job at Allied Universal? You're in luck. Click the link in our bio for the job description and i… https://t.co/vTv9uC0g43
1517209369624006656,ortizee21ios08,Thu Apr 21 18:31:16 +0000 2022,-119.2796615,46.2581775,.@SecYellen and other finance ministers walk out of G20 meeting as #Russia speaks https://t.co/WUH9lvkiOD… https://t.co/qlW1KpBzjC
1517209388255113216,BigBlueWW,Thu Apr 21 18:31:21 +0000 2022,-118.3210685,46.064640499999996,"We just extended our ticket sales another day, so if you would still like to get yourself a ticket for Saturday's F… https://t.co/47zpcKFkUH"
1517209401727361029,RyanM505,Thu Apr 21 18:31:24 +0000 2022,-71.683502,42.036939000000004,The offense is a major problem for the Sox. They are supposed to have one of the best lineups in baseball. They rig… https://t.co/1EmXs7cNOf
1517209406747860996,faieriemoon,Thu Apr 21 18:31:25 +0000 2022,-71.0887125,42.3136695,@Theresaroets911 I haven't. And could care less.
1517209419959967744,iwaspoisoned_,Thu Apr 21 18:31:28 +0000 2022,-70.7197342,41.7614511,"Lucky Charms - Wareham, Massachusetts - Lucky charms cereal Food Poisoning https://t.co/nOTLD3z6x8 #luckycharms #nausea #diarrhea #vomiting"
1517209420865843200,LatanaPowell,Thu Apr 21 18:31:28 +0000 2022,-122.455344,47.242960499999995,"Yes, I'm Queen Lunar https://t.co/aHP2FXICSz"
